# Altitude(AMSL),Pressure(hpa),Temp(C),RH,WindSpeed(m/s),WindDirection(degTN),Uwind(m/s),Vwind(m/s)
845.90,915.33,22.12,65.85, 2.62,88.83, 2.62, 0.05
851.92,914.69,22.06,66.42, 3.12,86.03, 3.12, 0.22
858.18,914.03,22.00,66.61, 3.76,82.30, 3.73, 0.50
864.74,913.34,21.95,66.66, 4.41,79.66, 4.34, 0.79
871.52,912.64,21.88,66.28, 4.83,80.21, 4.76, 0.82
878.16,911.97,21.81,66.20, 5.27,78.54, 5.17, 1.05
884.03,911.35,21.75,66.80, 5.63,80.06, 5.55, 0.97
889.11,910.79,21.71,67.07, 6.00,81.40, 5.93, 0.90
894.38,910.21,21.67,67.04, 6.14,83.08, 6.10, 0.74
900.64,909.56,21.61,67.34, 6.04,85.04, 6.02, 0.52
907.76,908.83,21.54,68.02, 6.10,85.16, 6.08, 0.51
915.13,908.08,21.46,68.87, 6.25,82.42, 6.19, 0.82
922.29,907.33,21.39,69.31, 6.63,82.81, 6.58, 0.83
929.24,906.59,21.34,69.29, 6.90,84.93, 6.87, 0.61
936.32,905.85,21.28,69.20, 6.75,87.41, 6.74, 0.30
943.47,905.11,21.21,69.25, 6.72,89.75, 6.72, 0.03
950.67,904.35,21.14,69.37, 6.71,92.09, 6.70,-0.24
958.06,903.59,21.08,69.54, 6.66,95.72, 6.62,-0.66
965.33,902.85,21.00,69.88, 6.64,99.38, 6.55,-1.08
971.96,902.14,20.93,70.05, 6.58,101.18, 6.46,-1.28
978.48,901.45,20.86,69.96, 6.60,104.64, 6.38,-1.67
985.46,900.73,20.79,69.91, 6.71,104.89, 6.49,-1.72
992.71,899.99,20.72,69.90, 6.83,105.14, 6.59,-1.78
999.62,899.29,20.64,69.90, 7.03,103.78, 6.82,-1.67
1005.74,898.65,20.59,70.08, 6.96,102.36, 6.79,-1.49
1011.08,898.08,20.54,70.27, 6.89,100.92, 6.76,-1.31
1016.41,897.51,20.49,70.61, 6.76,102.12, 6.61,-1.42
1022.24,896.92,20.44,70.95, 6.63,103.36, 6.45,-1.53
1027.95,896.36,20.38,70.95, 6.63,102.24, 6.48,-1.40
1032.66,895.87,20.33,70.69, 6.62,101.12, 6.50,-1.28
1036.28,895.47,20.28,70.23, 6.52,100.43, 6.42,-1.18
1039.59,895.10,20.24,69.65, 6.27,100.01, 6.17,-1.09
1043.51,894.70,20.20,69.48, 5.96,99.46, 5.88,-0.98
1047.86,894.26,20.16,69.81, 5.81,99.31, 5.73,-0.94
1052.49,893.78,20.12,70.18, 5.86,98.50, 5.79,-0.87
1057.24,893.30,20.10,70.32, 5.91,97.70, 5.85,-0.79
1061.67,892.85,20.07,70.33, 5.81,97.41, 5.76,-0.75
1065.82,892.42,20.04,70.57, 5.57,96.56, 5.53,-0.64
1069.57,892.03,19.99,70.90, 5.43,96.44, 5.40,-0.61
1073.06,891.66,19.94,71.20, 5.29,96.31, 5.26,-0.58
1076.63,891.29,19.89,71.40, 5.15,93.48, 5.14,-0.31
